title,description,date,start_time,location,ministry,status
Christmas Carol,Annual Christmas carol service,2024-12-20,18:00:00,Main Auditorium,Choir,Completed
New Year Service,New Year celebration service,2025-01-01,10:00:00,Main Auditorium,Worship,Completed
Youth Hangout,Youth fellowship and games,2025-01-13,16:00:00,Youth Hall,Youth,Completed
Prayer Vigil,Overnight prayer session,2025-01-26,22:00:00,Prayer Room,Prayer,Completed
Leadership Retreat,Church leaders retreat,2025-02-10,09:00:00,Retreat Center,Leadership,Completed
Couples Night,Married couples dinner,2025-02-14,19:00:00,Event Hall,Marriage,Completed
Children's Day,Children's special service,2025-03-02,11:00:00,Children's Hall,Children,Completed
Easter Service,Easter Sunday celebration,2025-04-20,10:00:00,Main Auditorium,Worship,Completed
Media Training,Media team workshop,2025-04-28,14:00:00,Media Room,Media,Completed
Ushering Seminar,Ushering team training,2025-05-05,13:00:00,Usher Room,Ushering,Completed
Women's Conference,Annual women's conference,2025-05-18,09:00:00,Main Auditorium,Women,Completed
Men's Breakfast,Men's fellowship breakfast,2025-06-01,08:00:00,Event Hall,Men,Completed
Outreach Program,Community outreach,2025-06-15,15:00:00,Community Center,Outreach,Completed
Bible Study,Weekly Bible study,2025-06-19,18:30:00,Classroom 1,Teaching,Completed
Praise Night,All-night praise session,2025-06-21,20:00:00,Main Auditorium,Choir,Completed
Technical Workshop,Sound and tech training,2025-06-23,12:00:00,Tech Room,Technical,Completed
Welfare Meeting,Welfare team planning,2025-06-25,17:00:00,Welfare Room,Welfare,Completed
Teens Camp,Teens summer camp,2025-06-27,09:00:00,Campground,Teens,Completed
Sunday Service,Regular Sunday worship,2025-06-29,10:00:00,Main Auditorium,Worship,Completed
July Thanksgiving,Monthly thanksgiving service,2025-07-06,10:00:00,Main Auditorium,Worship,Completed
